"","logFC","logCPM","PValue","FDR"
"ENSG00000144644",-4.98746149823317,0.704578948756247,4.91967940577053e-72,7.28754684632543e-70
"ENSG00000284692",-6.18578833876855,-2.13186469122353,4.93126147294748e-72,7.28754684632543e-70
"ENSG00000117598",7.47393012085589,2.09516207426454,5.0510534194115e-72,7.41087650614951e-70
"ENSG00000254489",-5.50927829472118,-1.35400033506227,5.4433725887423e-72,7.92943861248646e-70
"ENSG00000215231",-4.95746343391624,0.927682794197293,8.1025955319848e-72,1.17194562609431e-69
"ENSG00000285876",-5.54226437609318,-1.44341128128602,1.06803686973614e-71,1.53391154376048e-69
"ENSG00000145321",-4.83583023175983,3.67398564204951,1.43133197712047e-71,2.04129960429335e-69
"ENSG00000266976",7.64012486723909,1.49834135799021,5.44260917005088e-71,7.70809523708456e-69
"ENSG00000048540",-4.80963423175829,2.97110705816406,7.41522772831601e-71,1.04293899511225e-68
"ENSG00000112782",-4.78333400489449,5.58205323118716,2.11208371736902e-70,2.95026269397423e-68
"ENSG00000139304",-4.93621479113227,0.432721782448189,2.82093682377401e-70,3.91361806694199e-68
"ENSG00000230461",-5.164809069169,-0.766481034054186,3.24701337000251e-70,4.47429666674535e-68
"ENSG00000166391",-5.04424704201794,-0.381956371059605,8.50316670772229e-70,1.16384954253214e-67
"ENSG00000141750",-4.74887703459869,2.3610436184966,2.76362843794473e-69,3.75742922422965e-67
"ENSG00000173641",-4.72174982192289,3.70783467676548,7.86125173704358e-69,1.06173753592892e-66
"ENSG00000117322",-4.73445303205057,1.85225038654937,8.37045349209685e-69,1.12307255603831e-66
"ENSG00000113905",-4.71482644751003,4.26241456306673,1.04940085188257e-68,1.39878960609759e-66
"ENSG00000172482",-4.70445261396449,3.10468167031163,2.36941617046248e-68,3.13778398574103e-66
"ENSG00000139292",-4.90353311122882,-0.169942158829547,8.93148335903265e-68,1.17515272015556e-65
"ENSG00000242048",-4.66626029524798,3.09120367027597,1.93986480354327e-67,2.53600017970907e-65
"ENSG00000088926",-4.66288361471045,3.62845498162647,2.03548347669868e-67,2.64405414164286e-65
"ENSG00000279526",-5.16092663556361,-1.2005231365623,2.17769520525573e-67,2.8108807605054e-65
"ENSG00000275385",6.65903326707239,5.00451086702925,4.85341519444208e-67,6.22519179090891e-65
"ENSG00000175084",-4.64799254547751,3.23892530287247,5.05916967211205e-67,6.44854414331582e-65
"ENSG00000143882",-4.63882968547366,2.95699325199612,9.10112156695745e-67,1.1528464176182e-64
"ENSG00000047936",-4.75163606264091,0.624662507623362,1.1114838043378e-66,1.39923461146081e-64
"ENSG00000185988",7.09196692749217,1.58824103552731,1.61769347763072e-66,2.02400250201232e-64
"ENSG00000110484",-5.19527503674783,-1.39838301241774,1.7188218132254e-66,2.13741780847066e-64
"ENSG00000182732",-4.83063755961046,-0.163703360750293,2.67415843200663e-66,3.30525982196019e-64
"ENSG00000251632",-5.13470598108703,-1.32375224615565,4.80454405558837e-66,5.90264285961863e-64
"ENSG00000111404",-4.60410231957047,2.51107857557488,7.21802729191704e-66,8.81463764020097e-64
"ENSG00000133063",6.5170070156786,5.62999966592935,9.14062917210116e-66,1.10960709128471e-63
"ENSG00000113889",-4.58642703561586,8.00493439055185,1.00341475290935e-65,1.21086630004931e-63
"ENSG00000186335",-4.58445506211207,5.02292788121755,1.23411546175656e-65,1.4805029839449e-63
"ENSG00000089250",-4.57553330251713,2.80973275695389,3.03378680934391e-65,3.61818995261752e-63
"ENSG00000018236",-4.56504248683413,3.43577145716096,4.46097512708047e-65,5.28936783381855e-63
"ENSG00000143196",-4.71117818893881,0.281227890751933,4.67219225009963e-65,5.50778547679375e-63
"ENSG00000179914",-4.57319002132512,1.780626126734,5.95177478746805e-65,6.97589051813928e-63
"ENSG00000160111",-4.55486876228628,4.76999165204321,6.32350318971082e-65,7.36922994576928e-63
"ENSG00000070808",-4.79136765805087,-0.338878852838102,6.92060800875481e-65,8.01925453014463e-63
"ENSG00000134612",-4.67099260776745,0.533784898241428,9.6994642273133e-65,1.11757555622501e-62
"ENSG00000142611",-4.54680915542267,3.82398991000077,1.11028126568457e-64,1.27208292878489e-62
"ENSG00000140675",-4.55144965298299,2.75621852621191,1.14586809311564e-64,1.3055214464246e-62
